Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS2B02G390700,1,5,-4,4
TraesCS4B02G111500,1,1,0,0
TraesCS4D02G109200,1,1,0,0
TraesCS1A02G353300,1,0,1,1
TraesCS4A02G208000,1,1,0,0
TraesCS2D02G570400,1,0,1,1
TraesCS2B02G287600,1,0,1,1
TraesCS5B02G118400,1,1,0,0
TraesCS1A02G265000,1,2,-1,1
TraesCS5A02G112400,1,1,0,0
TraesCS2B02G259600,1,0,1,1
TraesCS1D02G453600,1,0,1,1
TraesCS2D02G368700,1,0,1,1
TraesCS4B02G129700,1,0,1,1
TraesCS5B02G175800,1,1,0,0
TraesCS5D02G129200,1,1,0,0
TraesCS2B02G169200,1,1,0,0
TraesCS1B02G275700,1,0,1,1
TraesCS6D02G147400,0,1,-1,1
TraesCS6A02G158100,0,1,-1,1
TraesCS6B02G186700,0,1,-1,1
TraesCS5A02G540400,0,1,-1,1
