Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS2A02G310300,62,28,34,34
TraesCS1A02G091500,37,3,34,34
TraesCS2B02G327300,30,17,13,13
TraesCS2D02G308600,23,11,12,12
TraesCS5B02G011700,18,55,-37,37
TraesCS1B02G119300,3,1,2,2
TraesCS1D02G100100,3,2,1,1
TraesCS1A02G103600,2,90,-88,88
TraesCS7D02G249500,2,2,0,0
TraesCS5D02G484500,2,0,2,2
TraesCS7D02G117800,1,1,0,0
TraesCS7A02G070100,1,5,-4,4
TraesCS7A02G287400,1,2,-1,1
TraesCS6B02G215700,1,1,0,0
TraesCS7B02G132000,1,1,0,0
TraesCS5B02G400000,1,1,0,0
TraesCS5D02G255800,1,0,1,1
TraesCS6D02G377900,1,0,1,1
TraesCS3A02G365700,1,6,-5,5
TraesCS1A02G419600,1,9,-8,8
TraesCS2B02G309500,1,2,-1,1
TraesCS6A02G307800,1,1,0,0
TraesCS7D02G133100,1,0,1,1
TraesCS6A02G188800,1,1,0,0
TraesCS5A02G529100,1,0,1,1
TraesCS7B02G139700,1,1,0,0
TraesCS1D02G427400,1,8,-7,7
TraesCS1B02G449700,1,6,-5,5
TraesCS6D02G177500,1,1,0,0
TraesCS7B02G034600,1,0,1,1
TraesCS6B02G130700,1,0,1,1
TraesCS7A02G133500,1,2,-1,1
TraesCS7B02G018600,1,0,1,1
TraesCS1B02G257700,1,2,-1,1
TraesCS1B02G391400,1,1,0,0
TraesCS7A02G251400,1,1,0,0
TraesCS5D02G404500,1,3,-2,2
TraesCS2D02G290800,1,2,-1,1
TraesCS7A02G120300,1,1,0,0
TraesCS5A02G395200,1,4,-3,3
TraesCS5A02G248700,1,0,1,1
TraesCS7D02G284900,1,1,0,0
TraesCS7B02G183300,1,1,0,0
TraesCS6D02G147400,0,2,-2,2
TraesCS7A02G233900,0,0,0,0
TraesCS6A02G158100,0,2,-2,2
TraesCS2A02G131400,0,0,0,0
TraesCS6B02G186700,0,1,-1,1
TraesCS6A02G102300,0,0,0,0
TraesCS4B02G129700,0,0,0,0
TraesCS2A02G293400,0,2,-2,2
TraesCS3A02G117800,0,1,-1,1
TraesCS1D02G250400,0,1,-1,1
TraesCS1D02G246300,0,3,-3,3
