TAM111,TAM112
TraesCS5D02G397300,0,16
TraesCS7A02G250900,0,16
TraesCS4B02G361100,0,21
TraesCS4D02G354100,0,15
TraesCS4D02G354200,0,31
TraesCS5A02G529300,0,20
TraesCS3A02G325800,0,46
TraesCS3B02G354900,0,43
TraesCS3D02G319200,0,43
TraesCS7B02G031000,0,14
TraesCS7B02G036500,4,18
TraesCS7D02G135700,0,25
TraesCS3A02G497600,0,12
TraesCS3A02G497900,0,35
TraesCS3B02G560600,0,12
TraesCS3B02G561000,0,37
TraesCS3D02G505200,0,24
TraesCS1A02G062500,0,52
TraesCS1A02G062900,0,43
TraesCS1A02G063100,0,29
TraesCS1A02G103600,0,154
TraesCS1A02G214800,0,41
TraesCS1A02G260800,1,34
TraesCS1A02G366600,0,106
TraesCS1A02G419600,0,10
TraesCS1A02G426600,0,86
TraesCS1B02G018000,0,32
TraesCS1B02G080800,0,108
TraesCS1B02G080900,0,90
TraesCS1B02G081000,0,46
TraesCS1B02G081200,0,61
TraesCS1B02G081300,0,98
TraesCS1B02G271400,0,27
TraesCS1B02G278900,0,71
TraesCS1B02G319600,0,139
TraesCS1B02G327700,0,87
TraesCS1B02G384400,0,84
TraesCS1B02G460900,0,91
TraesCS1D02G011900,0,51
TraesCS1D02G029600,0,19
TraesCS1D02G040600,0,26
TraesCS1D02G063500,0,86
TraesCS1D02G063600,0,53
TraesCS1D02G063700,0,84
TraesCS1D02G063900,0,98
TraesCS1D02G065100,0,19
TraesCS1D02G107100,0,10
TraesCS1D02G268200,0,94
TraesCS1D02G308500,0,33
TraesCS1D02G436000,0,97
TraesCS1D02G452600,0,16
TraesCS2A02G072100,1,49
TraesCS2A02G076000,0,71
TraesCS2A02G094900,1,12
TraesCS2A02G115800,0,125
TraesCS2A02G121300,0,41
TraesCS2A02G128600,0,107
TraesCS2A02G135400,0,93
TraesCS2A02G310300,0,15
TraesCS2A02G378600,0,12
TraesCS2A02G452800,0,43
TraesCS2A02G501400,0,15
TraesCS2A02G530900,0,17
TraesCS2A02G534000,0,138
TraesCS2A02G579000,0,55
TraesCS2B02G012700,0,78
TraesCS2B02G020900,1,30
TraesCS2B02G110000,1,49
TraesCS2B02G110100,1,52
TraesCS2B02G127400,0,75
TraesCS2B02G131100,0,54
TraesCS2B02G150700,0,93
TraesCS2B02G159300,0,103
TraesCS2B02G190300,0,30
TraesCS2B02G193400,0,14
TraesCS2B02G201000,1,14
TraesCS2B02G327300,0,14
TraesCS2B02G469900,0,14
TraesCS2B02G474300,0,43
TraesCS2B02G551800,1,53
TraesCS2B02G560100,0,21
TraesCS2B02G564300,0,55
TraesCS2B02G586300,0,12
TraesCS2D02G012400,0,42
TraesCS2D02G074500,1,33
TraesCS2D02G091500,0,10
TraesCS2D02G092900,0,61
TraesCS2D02G099600,0,10
TraesCS2D02G109600,0,101
TraesCS2D02G112800,0,81
TraesCS2D02G221100,0,18
TraesCS2D02G296000,0,20
TraesCS2D02G308600,0,14
TraesCS2D02G386400,0,16
TraesCS2D02G402300,0,86
TraesCS2D02G452600,0,20
TraesCS2D02G532800,0,16
TraesCS2D02G536300,0,55
TraesCS3A02G005600,0,35
TraesCS3A02G006000,0,44
TraesCS3A02G009500,0,26
TraesCS3A02G011100,8,158
TraesCS3A02G054300,0,46
TraesCS3A02G061500,0,42
TraesCS3A02G140800,0,39
TraesCS3A02G235100,1,34
TraesCS3A02G442500,1,26
TraesCS3A02G445500,0,85
TraesCS3A02G451400,0,43
TraesCS3A02G451500,0,55
TraesCS3A02G451600,0,80
TraesCS3A02G451700,4,36
TraesCS3A02G451800,0,69
TraesCS3A02G454700,0,62
TraesCS3A02G454800,0,69
TraesCS3A02G483700,0,104
TraesCS3B02G008900,0,16
TraesCS3B02G012300,0,22
TraesCS3B02G014300,0,109
TraesCS3B02G065300,0,55
TraesCS3B02G074200,0,37
TraesCS3B02G269100,0,19
TraesCS3B02G476300,0,11
TraesCS3B02G480100,0,61
TraesCS3B02G488700,0,40
TraesCS3B02G493400,1,144
TraesCS3B02G530500,0,79
TraesCS3B02G530600,1,20
TraesCS3B02G548800,0,25
TraesCS3B02G568800,0,108
TraesCS3B02G569500,0,46
TraesCS3B02G575100,0,14
TraesCS3B02G597300,0,93
TraesCS3D02G004900,0,15
TraesCS3D02G061400,0,33
TraesCS3D02G092700,0,60
TraesCS3D02G102800,0,19
TraesCS3D02G351500,0,10
TraesCS3D02G424600,0,20
TraesCS3D02G435300,1,13
TraesCS3D02G438300,0,103
TraesCS3D02G444300,0,94
TraesCS3D02G447400,0,86
TraesCS3D02G447500,0,64
TraesCS3D02G478800,0,108
TraesCS3D02G511600,0,82
TraesCS3D02G514700,0,16
TraesCS3D02G533400,0,41
TraesCS4A02G052100,0,126
TraesCS4A02G175100,0,12
TraesCS4A02G231400,0,58
TraesCS4A02G338000,0,23
TraesCS4A02G386000,1,84
TraesCS4A02G422300,0,40
TraesCS4A02G431200,0,13
TraesCS4A02G459900,8,141
TraesCS4A02G460300,0,27
TraesCS4A02G460400,1,49
TraesCS4A02G460500,0,33
TraesCS4A02G460600,0,31
TraesCS4A02G460800,0,11
TraesCS4A02G460900,0,58
TraesCS4B02G255800,8,66
TraesCS4B02G277000,0,41
TraesCS4B02G333200,0,117
TraesCS4B02G333500,0,70
TraesCS4B02G333600,0,27
TraesCS4B02G381900,0,13
TraesCS4D02G035000,0,16
TraesCS4D02G082500,0,114
TraesCS4D02G275600,0,87
TraesCS4D02G280700,1,37
TraesCS4D02G357800,0,45
TraesCS5A02G046300,0,26
TraesCS5A02G166600,5,53
TraesCS5A02G282800,0,45
TraesCS5A02G283100,0,41
TraesCS5A02G327500,1,70
TraesCS5A02G395800,0,53
TraesCS5A02G395900,1,10
TraesCS5A02G462200,0,22
TraesCS5A02G462300,0,33
TraesCS5A02G485200,0,23
TraesCS5A02G504100,0,103
