TAM111,TAM112
TraesCS5D02G397300,0,11
TraesCS7A02G250900,0,10
TraesCS6B02G142000,0,28
TraesCS3A02G325800,0,30
TraesCS3B02G354900,0,51
TraesCS3D02G319200,0,46
TraesCS7B02G031000,0,24
TraesCS7D02G135700,0,14
TraesCS3D02G078500,0,15
TraesCS3A02G497600,0,18
TraesCS3B02G561000,0,23
TraesCS3D02G505200,0,55
TraesCS1A02G007400,0,29
TraesCS1A02G062500,0,18
TraesCS1A02G062900,0,52
TraesCS1A02G103600,0,157
TraesCS1A02G214800,0,57
TraesCS1A02G260800,1,18
TraesCS1A02G365300,0,15
TraesCS1A02G366600,0,94
TraesCS1A02G426600,0,62
TraesCS1B02G080800,0,81
TraesCS1B02G080900,0,39
TraesCS1B02G081000,0,39
TraesCS1B02G081200,0,83
TraesCS1B02G081300,0,59
TraesCS1B02G271400,0,14
TraesCS1B02G278900,0,19
TraesCS1B02G319600,0,189
TraesCS1B02G327700,0,138
TraesCS1B02G384400,0,67
TraesCS1B02G460900,0,99
TraesCS1D02G011900,0,34
TraesCS1D02G040600,0,11
TraesCS1D02G063500,0,30
TraesCS1D02G063600,0,36
TraesCS1D02G063700,0,48
TraesCS1D02G063900,0,56
TraesCS1D02G268200,0,39
TraesCS1D02G308500,0,26
TraesCS1D02G436000,0,103
TraesCS1D02G452600,0,14
TraesCS2A02G072100,1,91
TraesCS2A02G076000,0,136
TraesCS2A02G115800,0,140
TraesCS2A02G121300,0,46
TraesCS2A02G128600,0,242
TraesCS2A02G135400,0,103
TraesCS2A02G452800,0,34
TraesCS2A02G530900,0,14
TraesCS2A02G534000,0,58
TraesCS2A02G579000,0,58
TraesCS2B02G012700,0,55
TraesCS2B02G020900,1,52
TraesCS2B02G110000,1,69
TraesCS2B02G110100,1,58
TraesCS2B02G127400,0,51
TraesCS2B02G131100,0,53
TraesCS2B02G150700,0,96
TraesCS2B02G159300,0,179
TraesCS2B02G190300,0,22
TraesCS2B02G201000,1,89
TraesCS2B02G474300,0,54
TraesCS2B02G551800,1,103
TraesCS2B02G564300,0,31
TraesCS2B02G586300,0,10
TraesCS2D02G012400,0,102
TraesCS2D02G074500,1,33
TraesCS2D02G092900,0,50
TraesCS2D02G109600,0,55
TraesCS2D02G112800,0,57
TraesCS2D02G402300,0,148
TraesCS2D02G532800,0,38
TraesCS2D02G536300,0,39
TraesCS3A02G005600,0,30
TraesCS3A02G006000,0,25
TraesCS3A02G009500,0,14
TraesCS3A02G011100,8,234
TraesCS3A02G054300,0,67
TraesCS3A02G061500,0,39
TraesCS3A02G235100,1,69
TraesCS3A02G442500,1,32
TraesCS3A02G445500,0,47
TraesCS3A02G451400,0,15
TraesCS3A02G451500,0,52
TraesCS3A02G451600,0,39
TraesCS3A02G451700,4,58
TraesCS3A02G451800,0,57
TraesCS3A02G454700,0,78
TraesCS3A02G454800,0,48
TraesCS3A02G483700,0,67
TraesCS3B02G008900,0,11
TraesCS3B02G014300,0,174
