Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS6D02G333600,2,28,-26,26
TraesCS2B02G446100,0,3,-3,3
TraesCS5D02G163400,1,3,-2,2
TraesCS7D02G137200,2,4,-2,2
TraesCS2B02G013000,9,11,-2,2
TraesCS5D02G321800,2,4,-2,2
TraesCS3B02G401100,0,1,-1,1
TraesCS1D02G044700,0,1,-1,1
TraesCS1A02G254200,0,1,-1,1
TraesCS4A02G337200,0,1,-1,1
TraesCS1D02G253700,0,1,-1,1
TraesCS1D02G114300,0,1,-1,1
TraesCS3A02G427600,0,1,-1,1
TraesCS1A02G352700,0,1,-1,1
TraesCS3B02G332900,0,1,-1,1
TraesCS3A02G377500,0,1,-1,1
TraesCS5B02G386700,0,1,-1,1
TraesCS1B02G264000,0,1,-1,1
TraesCS2D02G009200,5,6,-1,1
TraesCS3D02G362200,0,1,-1,1
TraesCS4A02G063400,0,1,-1,1
TraesCS3A02G369100,0,1,-1,1
TraesCS2A02G175600,1,2,-1,1
TraesCS3D02G141300,0,1,-1,1
TraesCS7A02G301700,0,1,-1,1
TraesCS1B02G435900,1,1,0,0
TraesCS3D02G423200,1,1,0,0
TraesCS7A02G380600,1,1,0,0
TraesCS2D02G009100,1,1,0,0
TraesCS5A02G315700,0,0,0,0
TraesCS3B02G414900,1,1,0,0
TraesCS4A02G193900,1,1,0,0
TraesCS7B02G293500,1,1,0,0
TraesCS4A02G075900,0,0,0,0
TraesCS5A02G082600,0,0,0,0
TraesCS1B02G369100,1,1,0,0
TraesCS1B02G019100,1,1,0,0
TraesCS2B02G616900,0,0,0,0
TraesCS2A02G295100,0,0,0,0
TraesCS2B02G296800,0,0,0,0
TraesCS7D02G209200,0,0,0,0
TraesCS3D02G350400,0,0,0,0
TraesCS5D02G430000,0,0,0,0
TraesCS4A02G410700,1,1,0,0
TraesCS5B02G457700,0,0,0,0
TraesCS1A02G405800,1,1,0,0
TraesCS1B02G401600,0,0,0,0
TraesCS6B02G366600,1,1,0,0
TraesCS1A02G220200,0,0,0,0
TraesCS3D02G289000,0,0,0,0
TraesCS3D02G330600,1,1,0,0
TraesCS3D02G198500,1,1,0,0
TraesCS4A02G319800,0,0,0,0
TraesCS3D02G152300,1,0,1,1
TraesCS3D02G367700,1,0,1,1
TraesCS2D02G226300,5,4,1,1
TraesCS2B02G261200,1,0,1,1
TraesCS2A02G064300,1,0,1,1
TraesCS7D02G263600,1,0,1,1
TraesCS1B02G152100,1,0,1,1
TraesCS6D02G335900,1,0,1,1
TraesCS2D02G567000,1,0,1,1
TraesCS6A02G024900,2,1,1,1
TraesCS2B02G221600,2,1,1,1
TraesCS1B02G132900,1,0,1,1
TraesCS7A02G136300,1,0,1,1
TraesCS2A02G550800,1,0,1,1
TraesCS1B02G083500,1,0,1,1
TraesCS5D02G307200,1,0,1,1
TraesCS5D02G386000,1,0,1,1
TraesCS7D02G297000,1,0,1,1
TraesCS5A02G383700,1,0,1,1
TraesCS7A02G137000,2,1,1,1
TraesCS3B02G043100,1,0,1,1
TraesCS1B02G179200,1,0,1,1
TraesCS7B02G315000,1,0,1,1
TraesCS1D02G201200,1,0,1,1
TraesCS7D02G136300,1,0,1,1
TraesCS1B02G126500,2,1,1,1
TraesCS3A02G150100,1,0,1,1
TraesCS2B02G112400,1,0,1,1
TraesCS6D02G265200,1,0,1,1
TraesCS7B02G037300,1,0,1,1
TraesCS3B02G234900,1,0,1,1
TraesCS5A02G356400,1,0,1,1
TraesCS5B02G320600,1,0,1,1
TraesCS3A02G364100,2,0,2,2
TraesCS7B02G038100,3,1,2,2
TraesCS7D02G271700,2,0,2,2
TraesCS6D02G383300,3,1,2,2
TraesCS2A02G425800,3,1,2,2
TraesCS5B02G138600,3,0,3,3
TraesCS7A02G499400,5,0,5,5
TraesCS7A02G271400,5,0,5,5
TraesCS5A02G546200,55,11,44,44
