Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS7A02G255500,0,1,-1,1
TraesCS1A02G357300,0,1,-1,1
TraesCS7B02G362800,0,1,-1,1
TraesCS4D02G297800,0,1,-1,1
TraesCS4A02G274200,0,1,-1,1
TraesCS4B02G042400,0,1,-1,1
TraesCS7D02G321500,0,1,-1,1
TraesCS3B02G134300,0,1,-1,1
TraesCS7B02G151900,1,1,0,0
TraesCS1A02G111600,0,0,0,0
TraesCS3D02G184000,1,1,0,0
TraesCS1B02G373800,0,0,0,0
TraesCS2A02G584100,0,0,0,0
TraesCS2A02G590300,1,1,0,0
TraesCS7B02G086500,1,1,0,0
TraesCS6A02G406600,1,0,1,1
TraesCS6B02G411500,1,0,1,1
TraesCS3A02G244500,1,0,1,1
