Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS4A02G231300,96,2325,-2229,2229
TraesCS3A02G325800,3,214,-211,211
TraesCS1B02G256000,63,258,-195,195
TraesCS2A02G389400,2,172,-170,170
TraesCS4A02G131000,11,140,-129,129
TraesCS6B02G315100,12,122,-110,110
TraesCS3B02G354900,3,97,-94,94
TraesCS5D02G452500,2,72,-70,70
TraesCS3D02G319200,3,72,-69,69
TraesCS1D02G244500,60,116,-56,56
TraesCS3B02G484100,17,70,-53,53
TraesCS1A02G244800,60,109,-49,49
TraesCS6B02G316600,19,68,-49,49
TraesCS2B02G119100,4,53,-49,49
TraesCS4A02G007900,13,61,-48,48
TraesCS6B02G360900,15,63,-48,48
TraesCS6B02G096600,13,59,-46,46
TraesCS5A02G387400,1,44,-43,43
TraesCS2B02G119000,5,48,-43,43
TraesCS5A02G330200,30,70,-40,40
TraesCS2D02G214100,10,49,-39,39
TraesCS2D02G414300,1,39,-38,38
TraesCS1B02G443800,1,39,-38,38
TraesCS2B02G228900,10,48,-38,38
TraesCS6D02G268000,34,71,-37,37
TraesCS1A02G413800,1,38,-37,37
TraesCS5D02G219300,2,38,-36,36
TraesCS5A02G155900,32,67,-35,35
TraesCS4A02G263300,51,85,-34,34
TraesCS6B02G096500,4,38,-34,34
TraesCS4D02G051600,25,58,-33,33
TraesCS2A02G559200,2,35,-33,33
TraesCS4A02G055700,10,42,-32,32
TraesCS5A02G275900,16,48,-32,32
TraesCS3B02G438800,7,38,-31,31
TraesCS3B02G323600,1,32,-31,31
TraesCS4B02G051500,55,85,-30,30
TraesCS7B02G072800,4,34,-30,30
TraesCS3B02G179500,8,38,-30,30
TraesCS3B02G158800,16,45,-29,29
TraesCS4D02G082600,51,79,-28,28
TraesCS2D02G444300,3,31,-28,28
TraesCS2A02G505600,9,36,-27,27
TraesCS2D02G417700,1,28,-27,27
TraesCS6A02G351300,1,28,-27,27
TraesCS1D02G084400,7,33,-26,26
TraesCS5B02G275200,11,36,-25,25
TraesCS6D02G098600,10,35,-25,25
TraesCS4B02G347100,1,25,-24,24
TraesCS2A02G488900,2,26,-24,24
TraesCS4D02G249200,6,29,-23,23
TraesCS6A02G108300,14,37,-23,23
TraesCS2A02G448300,1,24,-23,23
TraesCS5D02G494800,15,38,-23,23
TraesCS4D02G362800,12,34,-22,22
TraesCS4B02G173600,8,30,-22,22
TraesCS5D02G283200,21,43,-22,22
TraesCS7A02G189200,29,51,-22,22
TraesCS3D02G281900,6,28,-22,22
TraesCS1B02G100600,3,24,-21,21
TraesCS3B02G125500,2,23,-21,21
TraesCS2A02G201800,16,37,-21,21
TraesCS4D02G011500,33,54,-21,21
TraesCS5D02G037500,44,65,-21,21
TraesCS7B02G112400,68,88,-20,20
TraesCS2B02G534000,1,20,-19,19
TraesCS4A02G011600,38,57,-19,19
TraesCS4A02G006100,23,42,-19,19
TraesCS4D02G038500,4,23,-19,19
TraesCS2B02G483300,1,19,-18,18
TraesCS7B02G121800,10,28,-18,18
TraesCS4B02G037900,1,19,-18,18
TraesCS2B02G436100,0,17,-17,17
TraesCS2D02G372200,24,41,-17,17
TraesCS6B02G316700,59,76,-17,17
TraesCS7B02G204800,2,19,-17,17
TraesCS5B02G142100,0,17,-17,17
TraesCS4D02G296000,11,28,-17,17
TraesCS5A02G212800,0,17,-17,17
TraesCS6D02G089100,15,32,-17,17
TraesCS6D02G334000,1,18,-17,17
TraesCS5A02G233900,8,25,-17,17
TraesCS5D02G059300,1,18,-17,17
TraesCS1A02G372200,1,17,-16,16
TraesCS6A02G097700,1,17,-16,16
TraesCS2A02G376000,34,50,-16,16
TraesCS4A02G382200,21,37,-16,16
TraesCS4D02G297900,13,29,-16,16
TraesCS7B02G094000,34,50,-16,16
TraesCS6D02G358900,7,23,-16,16
TraesCS1B02G392000,14,29,-15,15
TraesCS6D02G084900,4,19,-15,15
TraesCS7D02G208000,64,79,-15,15
TraesCS3D02G370100,35,49,-14,14
TraesCS5A02G538600,8,22,-14,14
TraesCS5A02G143200,6,20,-14,14
TraesCS6D02G096300,8,22,-14,14
TraesCS2A02G323200,1,15,-14,14
TraesCS6D02G376400,1,15,-14,14
TraesCS7D02G483200,12,25,-13,13
TraesCS6B02G142000,1,14,-13,13
TraesCS7B02G292700,3,16,-13,13
TraesCS7D02G383300,3,16,-13,13
TraesCS1A02G304200,2,15,-13,13
TraesCS5A02G031900,1,13,-12,12
TraesCS7A02G206200,4,16,-12,12
TraesCS4B02G374400,16,28,-12,12
TraesCS6A02G311700,1,13,-12,12
TraesCS7D02G169000,4,16,-12,12
TraesCS7B02G072700,2,14,-12,12
TraesCS4A02G007800,8,20,-12,12
TraesCS1D02G252700,9,21,-12,12
TraesCS2A02G406900,12,24,-12,12
TraesCS2D02G401000,1,13,-12,12
TraesCS4A02G404700,3,14,-11,11
TraesCS7A02G168100,2,13,-11,11
TraesCS1D02G225200,6,17,-11,11
TraesCS2A02G232400,21,32,-11,11
TraesCS4D02G295900,7,18,-11,11
TraesCS2A02G577000,4,15,-11,11
