Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS5A02G482100,763,2902,-2139,2139
TraesCS5B02G398000,4,174,-170,170
TraesCS1B02G039900,9,178,-169,169
TraesCS4A02G231300,104,253,-149,149
TraesCS7D02G523800,56,195,-139,139
TraesCS5D02G463300,78,184,-106,106
TraesCS6D02G359300,5,111,-106,106
TraesCS2D02G098900,40,131,-91,91
TraesCS3A02G446600,5,91,-86,86
TraesCS2B02G516700,8,91,-83,83
TraesCS2A02G468200,32,110,-78,78
TraesCS2B02G238800,32,103,-71,71
TraesCS3B02G465400,36,106,-70,70
TraesCS2A02G389400,3,68,-65,65
TraesCS3D02G396800,19,80,-61,61
TraesCS7A02G443000,13,71,-58,58
TraesCS2B02G572400,15,73,-58,58
TraesCS5B02G445500,24,82,-58,58
TraesCS5A02G155900,31,83,-52,52
TraesCS2D02G163300,10,61,-51,51
TraesCS4A02G131000,10,60,-50,50
TraesCS3A02G325800,3,52,-49,49
TraesCS1B02G285900,6,54,-48,48
TraesCS1B02G448900,37,85,-48,48
TraesCS7D02G523900,6,51,-45,45
TraesCS5B02G499800,5,49,-44,44
TraesCS4A02G101700,16,57,-41,41
TraesCS2A02G139100,23,62,-39,39
TraesCS3B02G356700,2,40,-38,38
TraesCS1D02G107600,62,99,-37,37
TraesCS3B02G354900,1,36,-35,35
TraesCS2B02G119100,4,39,-35,35
TraesCS7A02G189200,20,55,-35,35
TraesCS2B02G594700,20,55,-35,35
TraesCS7D02G009100,6,41,-35,35
TraesCS4A02G006100,13,46,-33,33
TraesCS3A02G153000,17,50,-33,33
TraesCS4B02G341600,41,73,-32,32
TraesCS7B02G088400,9,40,-31,31
TraesCS3B02G556600,6,35,-29,29
TraesCS7A02G364900,3,32,-29,29
TraesCS3A02G368800,14,42,-28,28
TraesCS4D02G051600,25,52,-27,27
TraesCS5B02G448000,2,29,-27,27
TraesCS7A02G391100,3,30,-27,27
TraesCS6D02G333600,2,28,-26,26
TraesCS3D02G061900,0,26,-26,26
TraesCS4D02G297900,11,36,-25,25
