TF_name,TF_family,TAM111,TAM112,diff,abs_diff
TraesCS4A02G231300,HD-Zip_IV,104,253,-149,149
TraesCS2A02G389400,HD-Zip_I_II,3,68,-65,65
TraesCS5A02G155900,C2C2_Dof,31,83,-52,52
TraesCS4A02G131000,NAC,10,60,-50,50
TraesCS3A02G325800,HD-Zip_IV,3,52,-49,49
TraesCS7A02G189200,NAC,20,55,-35,35
TraesCS2B02G119100,NAC,4,39,-35,35
TraesCS3B02G354900,HD-Zip_IV,1,36,-35,35
TraesCS4A02G006100,MYB-related,13,46,-33,33
TraesCS4D02G051600,bHLH,25,52,-27,27
TraesCS4D02G297900,MYB-related,11,36,-25,25
TraesCS3B02G438800,ABI3/VP1,2,25,-23,23
TraesCS1A02G413800,GRAS,1,24,-23,23
TraesCS3B02G484100,HD_PLINC,12,34,-22,22
TraesCS7B02G072800,HD,2,23,-21,21
TraesCS2B02G119000,NAC,4,23,-19,19
TraesCS2D02G414300,AP2/EREBP,2,21,-19,19
TraesCS7B02G121800,CCAAT_Dr1,7,24,-17,17
TraesCS4D02G082600,HD-Zip_IV,55,71,-16,16
TraesCS5A02G330200,HD-Zip_IV,36,52,-16,16
TraesCS3D02G319200,HD-Zip_IV,3,19,-16,16
TraesCS5A02G387400,ABI3/VP1,2,18,-16,16
TraesCS4B02G051500,bHLH,56,70,-14,14
TraesCS2D02G286300,AP2/EREBP,1,15,-14,14
TraesCS4A02G055700,ABI3/VP1,10,23,-13,13
TraesCS4B02G173600,NAC,7,20,-13,13
TraesCS3D02G281900,WRKY,5,18,-13,13
TraesCS3A02G142900,bHLH,3,16,-13,13
TraesCS6D02G096300,NAC,9,21,-12,12
TraesCS7D02G483200,AP2/EREBP,3,15,-12,12
TraesCS1B02G443800,GRAS,1,13,-12,12
TraesCS4A02G263300,bHLH,60,71,-11,11
TraesCS4A02G007900,tify,13,24,-11,11
TraesCS2D02G214100,NAC,10,21,-11,11
TraesCS7B02G121900,CCAAT_Dr1,5,16,-11,11
TraesCS7A02G168000,HD,4,15,-11,11
TraesCS6B02G096500,HD,3,14,-11,11
TraesCS7A02G168100,HD,3,14,-11,11
TraesCS1B02G100600,MYB-related,3,14,-11,11
TraesCS7B02G031000,MYB-related,9,19,-10,10
TraesCS4D02G295900,tify,9,19,-10,10
TraesCS4D02G249200,ABI3/VP1,8,18,-10,10
TraesCS7D02G216600,CCAAT_Dr1,7,17,-10,10
TraesCS1D02G084400,MYB-related,6,16,-10,10
TraesCS1D02G225200,MYB-related,6,16,-10,10
TraesCS2D02G444300,MYB-related,0,10,-10,10
TraesCS5D02G219300,tify,0,10,-10,10
TraesCS2D02G101400,NAC,9,18,-9,9
TraesCS2A02G505600,AP2/EREBP,7,16,-9,9
TraesCS4D02G362800,C2C2_GATA,7,16,-9,9
TraesCS7B02G204800,MYB-related,4,13,-9,9
TraesCS7A02G304500,MYB-related,3,12,-9,9
TraesCS2A02G448300,PLATZ,2,11,-9,9
TraesCS7D02G169000,HD,1,10,-9,9
TraesCS5B02G142100,NAC,0,9,-9,9
TraesCS3B02G158800,AP2/EREBP,15,23,-8,8
TraesCS1B02G076300,AP2/EREBP,8,16,-8,8
TraesCS4B02G297000,tify,3,11,-8,8
TraesCS6B02G366700,GRF,1,9,-8,8
TraesCS2D02G576400,NAC,0,8,-8,8
TraesCS6B02G316700,CCAAT_Dr1,64,71,-7,7
TraesCS7B02G094000,NAC,44,51,-7,7
TraesCS6D02G268000,CCAAT_Dr1,31,38,-7,7
TraesCS6A02G108300,NAC,15,22,-7,7
TraesCS7A02G130700,MYB-related,8,15,-7,7
TraesCS2B02G228900,NAC,12,18,-6,6
TraesCS7A02G214500,CCAAT_Dr1,9,15,-6,6
TraesCS4A02G404700,bHLH,1,7,-6,6
TraesCS2D02G305300,NAC,1,7,-6,6
TraesCS1A02G426700,Sigma70-like,1,7,-6,6
TraesCS3D02G361700,MYB-related,0,6,-6,6
TraesCS4B02G299000,MYB-related,15,20,-5,5
TraesCS3A02G417300,ABI3/VP1,7,12,-5,5
TraesCS5A02G538600,C2C2_GATA,5,10,-5,5
TraesCS1A02G223600,MYB-related,5,10,-5,5
TraesCS2A02G146400,MADS_I,3,8,-5,5
TraesCS7D02G216800,CCAAT_Dr1,2,7,-5,5
TraesCS4D02G338800,GRAS,2,7,-5,5
TraesCS3A02G442200,bHLH,1,6,-5,5
TraesCS5D02G148800,NAC,1,6,-5,5
TraesCS3A02G317100,ULT,0,5,-5,5
TraesCS2A02G376000,bHLH_TCP,32,36,-4,4
TraesCS6B02G316600,CCAAT_Dr1,19,23,-4,4
TraesCS6D02G315700,GRF,12,16,-4,4
TraesCS7D02G130100,MYB-related,12,16,-4,4
TraesCS7D02G079000,HD-Zip_I_II,5,9,-4,4
TraesCS4D02G298400,AP2/EREBP,3,7,-4,4
TraesCS1B02G236900,MYB-related,3,7,-4,4
TraesCS3B02G125500,MYB-related,3,7,-4,4
TraesCS1A02G372200,AP2/EREBP,2,6,-4,4
TraesCS7D02G168700,HD-Zip_IV,1,5,-4,4
TraesCS3D02G141200,AP2/EREBP,0,4,-4,4
TraesCS4A02G382200,HD-Zip_I_II,17,20,-3,3
TraesCS2A02G201800,NAC,17,20,-3,3
TraesCS6B02G096600,HD,13,16,-3,3
TraesCS5A02G143200,NAC,7,10,-3,3
TraesCS6B02G301000,HD_PLINC,5,8,-3,3
TraesCS2A02G230400,MYB-related,4,7,-3,3
TraesCS2B02G483300,bHLH,3,6,-3,3
TraesCS1A02G288500,CCAAT_Dr1,3,6,-3,3
TraesCS2A02G554300,ABI3/VP1,2,5,-3,3
TraesCS3D02G372900,AP2/EREBP,2,5,-3,3
TraesCS6D02G084900,AP2/EREBP,2,5,-3,3
TraesCS4B02G347100,bHLH,2,5,-3,3
TraesCSU02G069000,MYB-related,2,5,-3,3
TraesCS4D02G175700,NAC,2,5,-3,3
TraesCS2A02G323200,TAZ,2,5,-3,3
TraesCS7D02G170600,AP2/EREBP,1,4,-3,3
TraesCS5A02G511900,GRAS,1,4,-3,3
TraesCS1D02G429900,WRKY,1,4,-3,3
TraesCS2B02G351600,WRKY,1,4,-3,3
TraesCS5D02G397300,ABI3/VP1,0,3,-3,3
TraesCS3B02G176200,AP2/EREBP,0,3,-3,3
TraesCS6B02G126600,AP2/EREBP,0,3,-3,3
TraesCS3D02G144700,bHLH,0,3,-3,3
TraesCS6B02G045500,mTERF,0,3,-3,3
TraesCS2B02G466500,MYB-related,0,3,-3,3
TraesCS3D02G314100,ULT,0,3,-3,3
TraesCS6A02G287300,CCAAT_Dr1,15,17,-2,2
TraesCS4D02G296000,tify,12,14,-2,2
TraesCS5D02G253100,HD_PLINC,9,11,-2,2
TraesCS5A02G083100,MYB-related,6,8,-2,2
TraesCS2A02G326600,NAC,4,6,-2,2
TraesCS3D02G497300,SRS,4,6,-2,2
TraesCS1D02G059200,AP2/EREBP,3,5,-2,2
TraesCS4D02G182100,AP2/EREBP,3,5,-2,2
TraesCSU02G183700,AP2/EREBP,3,5,-2,2
TraesCS6D02G085000,AP2/EREBP,2,4,-2,2
TraesCS3B02G476000,bHLH,2,4,-2,2
TraesCS5B02G426200,bHLH_TCP,2,4,-2,2
TraesCS1B02G234800,C2C2_GATA,2,4,-2,2
TraesCS5A02G111300,MYB-related,2,4,-2,2
TraesCS2B02G589800,ABI3/VP1,1,3,-2,2
TraesCS4D02G299700,ABI3/VP1,1,3,-2,2
TraesCS5A02G311100,AP2/EREBP,1,3,-2,2
TraesCS6A02G097700,AP2/EREBP,1,3,-2,2
TraesCS7A02G311800,bHLH,1,3,-2,2
TraesCS5A02G031900,bHLH_TCP,1,3,-2,2
TraesCS6A02G311700,E2F/DP,1,3,-2,2
TraesCS4B02G124000,GRAS,1,3,-2,2
TraesCS2B02G322200,HD_PLINC,1,3,-2,2
TraesCS3B02G612200,MYB-related,1,3,-2,2
TraesCS4B02G297100,tify,1,3,-2,2
TraesCS1A02G401800,WRKY,1,3,-2,2
TraesCS2B02G436100,AP2/EREBP,0,2,-2,2
TraesCS7D02G484400,C2C2_CO-like,0,2,-2,2
TraesCS3B02G608800,C2C2_Dof,0,2,-2,2
TraesCS1A02G414400,C3H,0,2,-2,2
TraesCS3B02G504100,FHA,0,2,-2,2
TraesCS3D02G180400,FHA,0,2,-2,2
TraesCS7D02G201700,GeBP,0,2,-2,2
TraesCS4B02G245800,MADS_II,0,2,-2,2
TraesCS5A02G391700,MADS_II,0,2,-2,2
TraesCS5D02G401500,MADS_II,0,2,-2,2
TraesCS7A02G122000,MADS_II,0,2,-2,2
TraesCS1B02G063100,mTERF,0,2,-2,2
TraesCS6B02G043800,mTERF,0,2,-2,2
TraesCS1B02G097500,MYB-related,0,2,-2,2
TraesCS2B02G466400,MYB-related,0,2,-2,2
TraesCS2D02G444200,MYB-related,0,2,-2,2
TraesCS5A02G212800,tify,0,2,-2,2
TraesCS1A02G358400,WRKY,0,2,-2,2
TraesCS1D02G072900,WRKY,0,2,-2,2
TraesCS5A02G275900,NAC,21,22,-1,1
TraesCS7B02G036500,MYB-related,8,9,-1,1
TraesCS2A02G101900,NAC,7,8,-1,1
TraesCS4A02G007800,tify,7,8,-1,1
TraesCS5D02G244800,HSF,5,6,-1,1
TraesCS5A02G500700,NAC,5,6,-1,1
TraesCS5D02G432500,bHLH_TCP,4,5,-1,1
TraesCS7D02G135200,MYB-related,3,4,-1,1
TraesCS3B02G552400,SRS,3,4,-1,1
TraesCS3D02G157100,AP2/EREBP,2,3,-1,1
TraesCS6A02G358400,bHLH,2,3,-1,1
TraesCS7D02G187600,bHLH_TCP,2,3,-1,1
TraesCS1D02G223200,C2C2_GATA,2,3,-1,1
TraesCS2B02G403100,C2C2_YABBY,2,3,-1,1
TraesCS4A02G206100,FHA,2,3,-1,1
TraesCS4B02G109700,FHA,2,3,-1,1
TraesCS6D02G304300,HD-Zip_IV,2,3,-1,1
TraesCS3B02G093300,NAC,2,3,-1,1
TraesCS2A02G283200,ABI3/VP1,1,2,-1,1
TraesCS1D02G242800,AP2/EREBP,1,2,-1,1
TraesCS4A02G123800,AP2/EREBP,1,2,-1,1
TraesCS6D02G084200,AP2/EREBP,1,2,-1,1
TraesCS3B02G106900,AS2/LOB,1,2,-1,1
TraesCS5D02G237300,bHLH,1,2,-1,1
TraesCS2D02G252100,bHLH_TCP,1,2,-1,1
TraesCS5B02G032000,bHLH_TCP,1,2,-1,1
TraesCS6B02G462100,bHLH_TCP,1,2,-1,1
TraesCS6D02G397000,bHLH_TCP,1,2,-1,1
TraesCS1D02G274700,C2C2_Dof,1,2,-1,1
TraesCS4A02G409600,C2C2_GATA,1,2,-1,1
TraesCS4B02G008300,CCAAT_HAP3,1,2,-1,1
TraesCS1D02G421200,GRAS,1,2,-1,1
TraesCS2A02G192600,GRAS,1,2,-1,1
TraesCS2A02G200700,GRAS,1,2,-1,1
TraesCS3B02G392600,GRAS,1,2,-1,1
TraesCS4A02G255000,GRF,1,2,-1,1
TraesCS5A02G237600,HSF,1,2,-1,1
TraesCS5D02G321000,HSF,1,2,-1,1
TraesCS3B02G105700,MADS_II,1,2,-1,1
TraesCS4D02G301100,MADS_II,1,2,-1,1
TraesCS3B02G290600,MYB-related,1,2,-1,1
TraesCS3D02G133000,MYB-related,1,2,-1,1
TraesCS3D02G540600,MYB-related,1,2,-1,1
TraesCS4D02G142900,MYB-related,1,2,-1,1
TraesCS5A02G079100,MYB-related,1,2,-1,1
TraesCS2A02G101400,NAC,1,2,-1,1
TraesCS3A02G406000,NAC,1,2,-1,1
TraesCS1B02G086700,PLATZ,1,2,-1,1
TraesCS7D02G271400,SRS,1,2,-1,1
TraesCS1D02G292700,WRKY,1,2,-1,1
TraesCS2B02G187500,WRKY,1,2,-1,1
TraesCS3B02G270500,WRKY,1,2,-1,1
TraesCS6D02G136200,WRKY,1,2,-1,1
TraesCS2A02G159800,ABI3/VP1,0,1,-1,1
TraesCS2B02G482400,ABI3/VP1,0,1,-1,1
TraesCS3D02G285300,ABI3/VP1,0,1,-1,1
TraesCS4A02G233900,ABI3/VP1,0,1,-1,1
TraesCS4B02G249100,ABI3/VP1,0,1,-1,1
TraesCS4D02G249400,ABI3/VP1,0,1,-1,1
TraesCS5D02G134700,ABI3/VP1,0,1,-1,1
TraesCS5D02G411500,ABI3/VP1,0,1,-1,1
TraesCS6D02G240600,ABI3/VP1,0,1,-1,1
TraesCS7A02G031000,ABI3/VP1,0,1,-1,1
TraesCS7A02G329600,ABI3/VP1,0,1,-1,1
TraesCS7B02G230100,ABI3/VP1,0,1,-1,1
TraesCS7D02G181300,ABI3/VP1,0,1,-1,1
TraesCS7D02G326300,ABI3/VP1,0,1,-1,1
TraesCS1A02G231200,AP2/EREBP,0,1,-1,1
