Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS5D02G004100,3584,322,3262,3262
TraesCS3A02G509300,191,1,190,190
TraesCS7B02G248300,208,36,172,172
TraesCS5B02G043100,39,0,39,39
TraesCS3B02G603100,32,0,32,32
TraesCS4A02G377600,31,1,30,30
TraesCS5A02G245900,48,20,28,28
TraesCS7D02G196300,35,12,23,23
TraesCS7B02G471400,60,37,23,23
TraesCS7B02G056300,33,12,21,21
TraesCS7A02G336700,46,26,20,20
TraesCS3A02G368700,23,3,20,20
TraesCS2A02G528400,31,12,19,19
TraesCS7B02G100300,37,19,18,18
TraesCS5D02G161000,26,9,17,17
TraesCS7D02G344400,58,41,17,17
TraesCS3D02G078500,22,6,16,16
TraesCS5B02G154100,38,23,15,15
TraesCS7B02G489500,31,17,14,14
TraesCS5B02G125600,17,3,14,14
TraesCS3A02G077900,24,11,13,13
TraesCS3B02G092800,14,1,13,13
TraesCS7D02G154200,40,27,13,13
TraesCS3D02G412800,17,5,12,12
TraesCS2D02G234000,20,8,12,12
TraesCS3A02G417300,17,6,11,11
TraesCS5A02G314600,13,2,11,11
TraesCS4B02G299000,26,15,11,11
TraesCS7A02G152500,31,20,11,11
TraesCS7A02G194700,39,28,11,11
TraesCS7A02G569100,32,21,11,11
TraesCS3B02G400200,10,0,10,10
TraesCS7D02G543400,20,10,10,10
TraesCS3B02G452200,16,7,9,9
TraesCS5D02G511400,9,0,9,9
TraesCS2B02G127800,7,0,7,7
TraesCS5B02G054200,8,1,7,7
TraesCS3A02G231100,8,1,7,7
TraesCS5A02G529300,11,5,6,6
TraesCS4A02G180900,9,3,6,6
TraesCS4A02G291500,7,1,6,6
TraesCS1A02G087700,6,0,6,6
TraesCS2A02G325900,7,1,6,6
TraesCS3B02G560400,8,2,6,6
TraesCS4A02G397800,6,0,6,6
TraesCS5D02G133900,12,6,6,6
TraesCS6D02G381400,6,0,6,6
TraesCS2A02G461700,6,1,5,5
TraesCS7A02G214500,17,12,5,5
TraesCS7A02G214700,7,2,5,5
TraesCS4D02G289600,7,2,5,5
