Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS1A02G007400,2834,363,2471,2471
TraesCS7B02G248300,343,16,327,327
TraesCS1B02G124600,172,12,160,160
TraesCS6B02G205100,193,33,160,160
TraesCS3B02G155500,162,19,143,143
TraesCS6A02G175100,394,259,135,135
TraesCS7D02G083700,228,103,125,125
TraesCS7D02G344400,125,16,109,109
TraesCS7A02G035300,99,5,94,94
TraesCS7A02G336700,97,9,88,88
TraesCS6D02G168200,133,47,86,86
TraesCS4A02G485700,76,4,72,72
TraesCS5B02G043100,68,0,68,68
TraesCS5B02G527300,90,25,65,65
TraesCS2D02G175600,68,8,60,60
TraesCS5A02G422900,56,5,51,51
TraesCS1B02G351400,55,7,48,48
TraesCS2D02G010000,47,6,41,41
TraesCS3A02G009500,43,3,40,40
TraesCS2A02G267200,43,4,39,39
TraesCS4D02G005700,45,9,36,36
TraesCS5B02G424800,67,31,36,36
TraesCS7B02G265300,70,35,35,35
TraesCS1A02G091500,37,3,34,34
TraesCS2A02G310300,62,28,34,34
TraesCS2B02G275300,35,2,33,33
TraesCS5D02G405100,83,50,33,33
TraesCS5D02G431100,65,32,33,33
TraesCS3A02G498400,41,9,32,32
TraesCS5B02G282100,53,21,32,32
TraesCS1B02G233000,39,9,30,30
TraesCS7B02G266700,50,20,30,30
TraesCS1D02G221200,44,15,29,29
TraesCS2D02G091500,38,9,29,29
TraesCS7D02G361200,57,28,29,29
TraesCS6A02G157100,30,2,28,28
TraesCS7D02G216600,36,9,27,27
TraesCS1A02G063100,37,11,26,26
TraesCS2B02G136600,28,2,26,26
TraesCS2A02G012700,37,12,25,25
TraesCS4A02G302300,27,2,25,25
TraesCS5A02G320200,66,41,25,25
TraesCS6D02G304500,28,3,25,25
TraesCS5A02G496500,48,24,24,24
TraesCS7B02G067000,63,39,24,24
TraesCS5A02G395800,66,43,23,23
TraesCS3B02G068600,23,1,22,22
TraesCS6A02G362100,42,20,22,22
TraesCS6D02G276200,49,27,22,22
TraesCS5B02G320400,82,61,21,21
TraesCS7B02G361100,80,59,21,21
TraesCS1A02G253100,25,5,20,20
TraesCS5A02G155900,40,21,19,19
TraesCS3B02G404200,28,9,19,19
TraesCS5A02G195200,25,6,19,19
TraesCS5B02G255200,26,7,19,19
TraesCS5D02G225200,21,2,19,19
TraesCS6B02G122000,57,38,19,19
TraesCS7D02G303400,28,9,19,19
TraesCS7D02G362000,61,42,19,19
TraesCS3A02G451600,68,50,18,18
TraesCS4D02G008600,41,23,18,18
TraesCS5A02G557600,21,3,18,18
TraesCS6A02G179900,25,7,18,18
TraesCS7B02G361400,45,27,18,18
TraesCS2D02G234000,22,5,17,17
TraesCS2A02G411900,28,11,17,17
TraesCS3A02G442400,34,17,17,17
TraesCS5A02G282700,23,6,17,17
TraesCS5A02G309000,38,21,17,17
TraesCS5D02G289800,57,40,17,17
TraesCS7A02G009500,27,10,17,17
TraesCS7D02G448200,73,56,17,17
TraesCS5B02G154100,35,19,16,16
TraesCS4B02G299000,18,2,16,16
TraesCS7A02G194700,55,39,16,16
TraesCS7B02G434000,31,15,16,16
TraesCS7B02G472400,22,6,16,16
TraesCS7B02G100300,34,19,15,15
TraesCS3A02G451400,37,22,15,15
TraesCS6B02G023800,35,20,15,15
TraesCS1B02G081000,43,29,14,14
TraesCS2A02G105500,19,5,14,14
TraesCS2A02G168200,20,6,14,14
TraesCS2A02G530900,21,7,14,14
TraesCS3A02G137900,18,4,14,14
TraesCS4D02G008900,18,4,14,14
TraesCS5D02G326100,85,71,14,14
TraesCS6B02G355000,15,1,14,14
TraesCS7D02G081400,29,15,14,14
TraesCS5D02G161000,15,2,13,13
TraesCS2B02G327300,30,17,13,13
TraesCS3A02G425900,28,15,13,13
TraesCS3A02G454700,65,52,13,13
TraesCS4A02G386000,32,19,13,13
TraesCS4B02G011100,14,1,13,13
TraesCS5A02G395900,28,15,13,13
TraesCS5A02G485200,25,12,13,13
TraesCS6A02G093200,90,77,13,13
TraesCS6D02G276300,29,16,13,13
TraesCS2D02G308600,23,11,12,12
TraesCS3B02G480100,46,34,12,12
TraesCS1D02G011900,65,54,11,11
TraesCS2D02G532800,17,6,11,11
TraesCS3D02G533400,33,22,11,11
TraesCS4B02G011200,13,2,11,11
TraesCS6A02G099600,12,1,11,11
TraesCS6A02G324700,15,4,11,11
TraesCS6D02G010900,13,2,11,11
TraesCS6D02G106600,66,55,11,11
TraesCS7A02G549200,23,12,11,11
TraesCS7B02G389100,22,11,11,11
TraesCS1A02G386200,20,10,10,10
TraesCS2D02G386400,15,5,10,10
TraesCS3D02G182000,16,6,10,10
TraesCS3D02G435100,34,24,10,10
TraesCS3D02G438300,70,60,10,10
TraesCS3D02G447500,63,53,10,10
TraesCS4A02G231400,53,43,10,10
TraesCS4D02G009300,11,1,10,10
TraesCS5A02G087000,15,5,10,10
TraesCS5B02G216000,28,18,10,10
TraesCS6B02G032600,11,1,10,10
TraesCS7A02G548500,12,2,10,10
TraesCS5A02G529300,16,7,9,9
TraesCS1B02G080900,38,29,9,9
TraesCS3A02G426400,23,14,9,9
TraesCS4A02G058100,11,2,9,9
TraesCS6D02G405000,10,1,9,9
TraesCS7B02G036700,22,13,9,9
TraesCS7D02G194400,15,6,9,9
TraesCS4D02G289600,13,5,8,8
TraesCS3A02G368700,11,3,8,8
TraesCS7D02G130100,14,6,8,8
TraesCS7D02G135700,25,17,8,8
TraesCS1A02G062500,29,21,8,8
TraesCS3D02G323200,39,31,8,8
TraesCS4B02G298600,10,2,8,8
TraesCS6A02G295600,41,33,8,8
TraesCS6A02G364400,9,1,8,8
TraesCS7D02G081200,32,24,8,8
TraesCS7D02G504800,50,42,8,8
TraesCS7B02G121900,11,4,7,7
TraesCS3B02G400200,8,1,7,7
TraesCS3D02G361600,8,1,7,7
TraesCS7B02G031000,17,10,7,7
TraesCS1B02G413600,25,18,7,7
TraesCS4A02G460500,50,43,7,7
TraesCS4D02G009600,8,1,7,7
TraesCS5A02G174200,8,1,7,7
TraesCS5D02G047200,16,9,7,7
TraesCS5D02G431400,8,1,7,7
TraesCS6D02G108900,9,2,7,7
TraesCS7D02G053700,41,34,7,7
TraesCS1A02G219700,46,40,6,6
TraesCS1D02G394200,12,6,6,6
TraesCS2A02G094900,13,7,6,6
TraesCS2A02G128600,50,44,6,6
TraesCS2D02G556000,9,3,6,6
TraesCS4D02G025600,15,9,6,6
TraesCS5A02G040300,9,3,6,6
TraesCS6A02G119000,7,1,6,6
TraesCS6A02G180100,8,2,6,6
TraesCS6B02G410400,85,79,6,6
TraesCS6B02G467400,10,4,6,6
TraesCS6B02G467500,7,1,6,6
TraesCS6D02G138200,66,60,6,6
TraesCS7A02G459900,48,42,6,6
TraesCS3D02G412800,13,8,5,5
TraesCS6A02G114100,6,1,5,5
TraesCS7B02G121800,13,8,5,5
TraesCS2A02G172500,9,4,5,5
TraesCS1D02G225200,10,5,5,5
TraesCS2B02G252000,8,3,5,5
TraesCS2D02G336300,8,3,5,5
TraesCS1D02G351600,8,3,5,5
TraesCS1B02G351600,7,2,5,5
TraesCS1D02G351000,6,1,5,5
TraesCS2A02G348600,6,1,5,5
TraesCS3B02G031300,15,10,5,5
TraesCS3B02G431200,6,1,5,5
TraesCS3D02G102800,11,6,5,5
TraesCS4A02G460900,40,35,5,5
TraesCS4D02G281100,6,1,5,5
TraesCS5A02G283100,66,61,5,5
TraesCS5B02G434200,6,1,5,5
TraesCS5B02G564900,7,2,5,5
TraesCS5D02G056100,50,45,5,5
TraesCS5D02G178800,6,1,5,5
TraesCS5D02G290600,46,41,5,5
TraesCS6A02G011800,6,1,5,5
TraesCS6A02G046800,7,2,5,5
TraesCS6A02G295900,9,4,5,5
TraesCS7A02G299300,5,0,5,5
TraesCS7B02G244700,6,1,5,5
TraesCS7B02G440500,9,4,5,5
TraesCS7D02G177200,10,5,5,5
TraesCS7D02G535500,9,4,5,5
TraesCS4B02G290400,7,3,4,4
TraesCS1A02G096800,4,0,4,4
TraesCS1A02G275800,19,15,4,4
TraesCS7B02G036500,11,7,4,4
TraesCS5A02G245900,27,23,4,4
TraesCS1A02G348600,5,1,4,4
