Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS1B02G010400,1151,43,1108,1108
TraesCS1A02G007300,965,21,944,944
TraesCS1D02G015100,825,39,786,786
TraesCS1D02G000300,769,45,724,724
TraesCS1D02G000200,567,31,536,536
TraesCS1D02G001200,862,326,536,536
TraesCS1D02G001400,483,54,429,429
TraesCS7B02G248300,448,39,409,409
TraesCS1B02G011000,370,35,335,335
TraesCS1D02G009400,342,33,309,309
TraesCS1D02G001100,318,58,260,260
TraesCS1A02G007405,255,16,239,239
TraesCS1D02G317301,286,48,238,238
TraesCSU02G108100,254,34,220,220
TraesCS1A02G007700,223,24,199,199
TraesCS1D02G000700,222,34,188,188
TraesCS1B02G010500,204,35,169,169
TraesCS1B02G329711,218,51,167,167
TraesCS1B02G011300,191,30,161,161
TraesCSU02G267761,196,37,159,159
TraesCS6A02G049200,214,57,157,157
TraesCS7D02G031700,197,41,156,156
TraesCS4B02G393500,206,51,155,155
TraesCS1D02G317211,199,48,151,151
TraesCSU02G032700,183,37,146,146
TraesCS7B02G072000,208,64,144,144
TraesCS5D02G004000,165,29,136,136
TraesCS3D02G095700,173,39,134,134
TraesCS3D02G096000,166,33,133,133
TraesCS6A02G049800,183,54,129,129
TraesCS5A02G554200,155,30,125,125
TraesCS6A02G049100,175,52,123,123
TraesCS6A02G049400,179,56,123,123
TraesCS7D02G031800,153,33,120,120
TraesCS5B02G003500,156,39,117,117
TraesCS3B02G111200,143,31,112,112
TraesCS4B02G249400,129,25,104,104
TraesCS5A02G003300,133,30,103,103
TraesCS5D02G004300,127,25,102,102
TraesCS1B02G329992,120,26,94,94
TraesCS1D02G007400,123,32,91,91
TraesCS6B02G065856,115,26,89,89
TraesCS7D02G168000,150,63,87,87
TraesCS5B02G043100,80,0,80,80
TraesCS4A02G453400,104,24,80,80
TraesCS1B02G010600,93,15,78,78
TraesCS7D02G032100,118,44,74,74
TraesCS1A02G398200,135,65,70,70
TraesCS1D02G009900,107,37,70,70
TraesCS1B02G010700,89,23,66,66
TraesCS1A02G066100,85,20,65,65
TraesCS4A02G453800,107,42,65,65
TraesCS6D02G000200,97,33,64,64
TraesCS1B02G042700,78,15,63,63
TraesCS1D02G001300,99,36,63,63
TraesCS1D02G008600,76,13,63,63
TraesCS6A02G049700,102,39,63,63
TraesCS1D02G067100,99,37,62,62
TraesCS2A02G528200,84,22,62,62
TraesCS2D02G531100,80,19,61,61
TraesCSU02G188800,90,30,60,60
TraesCS1B02G013500,182,125,57,57
TraesCSU02G239000,107,50,57,57
TraesCS1D02G317300,73,17,56,56
TraesCS4A02G112300,78,22,56,56
TraesCSU02G108400,113,58,55,55
TraesCS1A02G317500,75,21,54,54
TraesCS4A02G025900,51,0,51,51
TraesCS5D02G368900,90,40,50,50
TraesCS1B02G426100,100,53,47,47
TraesCS7A02G035500,104,57,47,47
TraesCS1D02G405600,56,12,44,44
TraesCS4D02G192900,80,37,43,43
