TF_name,TF_family,TAM111,TAM112,diff,abs_diff
TraesCS7B02G248300,CCAAT_HAP5,343,16,327,327
TraesCS7D02G344400,CCAAT_HAP5,125,16,109,109
TraesCS7A02G336700,CCAAT_HAP5,97,9,88,88
TraesCS5B02G043100,MYB-related,68,0,68,68
TraesCS7A02G194700,NAC,55,39,16,16
TraesCS5A02G155900,C2C2_Dof,40,21,19,19
TraesCS7D02G216600,CCAAT_Dr1,36,9,27,27
TraesCS5B02G154100,C2C2_Dof,35,19,16,16
TraesCS7B02G100300,NAC,34,19,15,15
TraesCS7A02G205100,MYB-related,31,31,0,0
TraesCS5A02G245900,NAC,27,23,4,4
TraesCS7D02G135700,MYB-related,25,17,8,8
TraesCS7B02G094000,NAC,24,24,0,0
TraesCS1B02G285000,MYB-related,23,31,-8,8
TraesCS2D02G234000,MYB-related,22,5,17,17
TraesCS7D02G196300,NAC,21,19,2,2
TraesCS7B02G112400,MYB-related,20,41,-21,21
TraesCS1A02G275800,MYB-related,19,15,4,4
TraesCS6D02G268100,CCAAT_Dr1,18,41,-23,23
TraesCS4B02G299000,MYB-related,18,2,16,16
TraesCS7D02G208000,MYB-related,18,38,-20,20
TraesCS4A02G006100,MYB-related,17,20,-3,3
TraesCS7B02G031000,MYB-related,17,10,7,7
TraesCS7D02G543500,NAC,17,30,-13,13
TraesCS3D02G505200,PLATZ,17,19,-2,2
TraesCS5A02G529300,AS2/LOB,16,7,9,9
TraesCS7A02G189200,NAC,16,24,-8,8
TraesCS7B02G489500,NAC,16,23,-7,7
TraesCS5D02G161000,C2C2_Dof,15,2,13,13
TraesCS6A02G287400,CCAAT_Dr1,14,36,-22,22
TraesCS7D02G130100,MYB-related,14,6,8,8
TraesCS3D02G412800,ABI3/VP1,13,8,5,5
TraesCS6B02G316700,CCAAT_Dr1,13,50,-37,37
TraesCS7B02G121800,CCAAT_Dr1,13,8,5,5
TraesCS4D02G289600,CCAAT_HAP2,13,5,8,8
TraesCS3B02G561000,PLATZ,13,15,-2,2
TraesCS7A02G214500,CCAAT_Dr1,12,12,0,0
TraesCS7B02G121900,CCAAT_Dr1,11,4,7,7
TraesCS3A02G368700,MYB-related,11,3,8,8
TraesCS7B02G036500,MYB-related,11,7,4,4
TraesCS7A02G569100,NAC,11,28,-17,17
TraesCS7D02G154200,NAC,11,33,-22,22
TraesCS5D02G253100,HD_PLINC,10,17,-7,7
TraesCS1D02G225200,MYB-related,10,5,5,5
TraesCS1D02G275400,MYB-related,10,24,-14,14
TraesCS3A02G077900,NAC,10,7,3,3
TraesCS3D02G078500,NAC,10,10,0,0
TraesCS1A02G244800,AP2/EREBP,9,53,-44,44
TraesCS1B02G256000,AP2/EREBP,9,56,-47,47
TraesCS1D02G244500,AP2/EREBP,9,46,-37,37
TraesCS2A02G172500,CCAAT_HAP2,9,4,5,5
TraesCS3B02G092800,NAC,9,8,1,1
TraesCS7A02G152500,NAC,9,17,-8,8
TraesCS7B02G056300,NAC,9,12,-3,3
TraesCS3B02G452200,ABI3/VP1,8,14,-6,6
TraesCS4D02G354200,AS2/LOB,8,12,-4,4
TraesCS4D02G362800,C2C2_GATA,8,22,-14,14
TraesCS2B02G252000,MYB-related,8,3,5,5
TraesCS3B02G400200,MYB-related,8,1,7,7
TraesCS3D02G361600,MYB-related,8,1,7,7
TraesCS7A02G130700,MYB-related,8,5,3,3
TraesCS2D02G336300,NAC,8,3,5,5
TraesCS7D02G543400,NAC,8,10,-2,2
TraesCS1D02G351600,WRKY,8,3,5,5
TraesCS5D02G320800,AP2/EREBP,7,14,-7,7
TraesCS4B02G361100,AS2/LOB,7,15,-8,8
TraesCS4B02G290400,CCAAT_HAP2,7,3,4,4
TraesCS5A02G153000,GARP_G2-like,7,8,-1,1
TraesCS6D02G315700,GRF,7,11,-4,4
TraesCS3A02G417300,ABI3/VP1,6,11,-5,5
TraesCS2B02G434100,AP2/EREBP,6,4,2,2
TraesCS6A02G114100,bHLH,6,1,5,5
TraesCS7A02G214700,CCAAT_Dr1,6,13,-7,7
TraesCS2D02G179600,CCAAT_HAP2,6,4,2,2
TraesCS4D02G297900,MYB-related,6,6,0,0
TraesCS3A02G497600,PLATZ,6,10,-4,4
TraesCS3B02G438800,ABI3/VP1,5,16,-11,11
TraesCS2D02G461700,bHLH,5,2,3,3
TraesCS4D02G051600,bHLH,5,35,-30,30
TraesCS5A02G538600,C2C2_GATA,5,15,-10,10
TraesCS2B02G198700,CCAAT_HAP2,5,6,-1,1
TraesCS5D02G383000,CCAAT_HAP2,5,13,-8,8
TraesCS5B02G151800,GARP_G2-like,5,11,-6,6
TraesCS5B02G054200,NAC,5,3,2,2
TraesCS5D02G148900,NAC,5,4,1,1
TraesCS1A02G348600,WRKY,5,1,4,4
TraesCS7A02G399500,ABI3/VP1,4,2,2,2
TraesCS2B02G529200,AP2/EREBP,4,4,0,0
TraesCS2B02G572500,AP2/EREBP,4,3,1,1
TraesCS3B02G412500,AP2/EREBP,4,3,1,1
TraesCS4A02G011600,AP2/EREBP,4,19,-15,15
TraesCS6A02G330500,AP2/EREBP,4,7,-3,3
TraesCS6D02G084900,AP2/EREBP,4,9,-5,5
TraesCS5B02G375500,CCAAT_HAP2,4,22,-18,18
TraesCS4A02G180900,GARP_G2-like,4,8,-4,4
TraesCS6D02G238900,GRF,4,6,-2,2
TraesCS3A02G325800,HD-Zip_IV,4,65,-61,61
TraesCS3B02G354900,HD-Zip_IV,4,57,-53,53
TraesCS3D02G319200,HD-Zip_IV,4,47,-43,43
TraesCS1A02G096800,MYB-related,4,0,4,4
TraesCS1B02G236900,MYB-related,4,4,0,0
TraesCS2A02G326600,NAC,4,1,3,3
TraesCS2A02G101900,NAC,4,13,-9,9
TraesCS2A02G325900,NAC,4,2,2,2
TraesCS6D02G096300,NAC,4,21,-17,17
TraesCS7A02G569300,NAC,4,4,0,0
TraesCS2A02G554300,ABI3/VP1,3,13,-10,10
TraesCS2D02G560000,ABI3/VP1,3,5,-2,2
TraesCS1B02G076300,AP2/EREBP,3,10,-7,7
TraesCS1D02G059200,AP2/EREBP,3,5,-2,2
TraesCS2A02G505600,AP2/EREBP,3,10,-7,7
TraesCS4A02G123800,AP2/EREBP,3,7,-4,4
TraesCS5A02G314600,AP2/EREBP,3,9,-6,6
TraesCS6B02G361400,AP2/EREBP,3,3,0,0
TraesCS7D02G483200,AP2/EREBP,3,8,-5,5
TraesCS7A02G354800,BES1,3,2,1,1
TraesCS6B02G142000,bHLH,3,9,-6,6
TraesCS7D02G216800,CCAAT_Dr1,3,2,1,1
TraesCS6A02G335400,CCAAT_HAP2,3,3,0,0
TraesCS6D02G315300,CCAAT_HAP2,3,2,1,1
TraesCS5A02G401600,GARP_G2-like,3,3,0,0
TraesCS5B02G406300,GARP_G2-like,3,6,-3,3
TraesCS7A02G411100,GARP_G2-like,3,3,0,0
TraesCS7D02G404100,GARP_G2-like,3,3,0,0
TraesCS5A02G043400,HD,3,3,0,0
TraesCS1A02G087700,HD_PLINC,3,0,3,3
TraesCS5B02G243800,HD_PLINC,3,7,-4,4
TraesCS4A02G405800,HD-Zip_I_II,3,3,0,0
TraesCS2B02G232000,HSF,3,3,0,0
TraesCS5D02G393200,HSF,3,1,2,2
TraesCS2B02G583800,MYB-related,3,4,-1,1
TraesCS1A02G223600,MYB-related,3,1,2,2
TraesCS2A02G230400,MYB-related,3,3,0,0
TraesCS7D02G135200,MYB-related,3,3,0,0
TraesCSU02G069000,MYB-related,3,5,-2,2
TraesCS2A02G201800,NAC,3,12,-9,9
TraesCS2D02G100700,NAC,3,1,2,2
TraesCS2D02G214100,NAC,3,16,-13,13
TraesCS3A02G078400,NAC,3,2,1,1
TraesCS6A02G108300,NAC,3,18,-15,15
TraesCS7B02G314400,TAZ,3,1,2,2
TraesCS2D02G122900,TUB,3,1,2,2
TraesCS2B02G454300,WRKY,3,2,1,1
TraesCS5A02G156700,WRKY,3,0,3,3
TraesCS5A02G381000,WRKY,3,1,2,2
TraesCS2B02G589800,ABI3/VP1,2,7,-5,5
TraesCS3A02G249100,ABI3/VP1,2,4,-2,2
TraesCS3A02G405100,ABI3/VP1,2,5,-3,3
TraesCS3B02G278000,ABI3/VP1,2,4,-2,2
TraesCS3D02G249100,ABI3/VP1,2,7,-5,5
TraesCS4A02G055500,ABI3/VP1,2,2,0,0
TraesCS4B02G073600,ABI3/VP1,2,3,-1,1
TraesCS5B02G073800,ABI3/VP1,2,1,1,1
TraesCS6D02G384000,ABI3/VP1,2,1,1,1
TraesCS7A02G062700,ABI3/VP1,2,0,2,2
TraesCS1A02G272300,AP2/EREBP,2,1,1,1
TraesCS1B02G282300,AP2/EREBP,2,1,1,1
TraesCS2B02G127800,AP2/EREBP,2,0,2,2
TraesCS2D02G506500,AP2/EREBP,2,3,-1,1
TraesCS3A02G259900,AP2/EREBP,2,0,2,2
TraesCS4B02G180600,AP2/EREBP,2,6,-4,4
TraesCS4B02G292900,AP2/EREBP,2,6,-4,4
TraesCS4D02G182100,AP2/EREBP,2,9,-7,7
TraesCS6A02G097700,AP2/EREBP,2,8,-6,6
TraesCS6B02G125900,AP2/EREBP,2,4,-2,2
TraesCS6D02G084200,AP2/EREBP,2,5,-3,3
TraesCS7A02G250900,AP2/EREBP,2,2,0,0
TraesCS2D02G491200,ARF,2,1,1,1
TraesCS2D02G548900,ARF,2,1,1,1
TraesCS3D02G434700,ARF,2,0,2,2
TraesCS7D02G250100,ARF,2,2,0,0
TraesCS2A02G194500,AS2/LOB,2,3,-1,1
TraesCS2B02G212400,AS2/LOB,2,3,-1,1
TraesCS2D02G193400,AS2/LOB,2,3,-1,1
TraesCS4D02G078800,AS2/LOB,2,2,0,0
TraesCS6A02G085800,BES1,2,0,2,2
TraesCS7B02G272900,BES1,2,2,0,0
TraesCS2A02G461700,bHLH,2,3,-1,1
TraesCS3A02G442200,bHLH,2,4,-2,2
TraesCS3D02G434900,bHLH,2,4,-2,2
TraesCS3A02G140100,bHLH_TCP,2,4,-2,2
TraesCS5B02G032000,bHLH_TCP,2,1,1,1
TraesCS2A02G353900,C2C2_CO-like,2,2,0,0
TraesCS3A02G306800,C2C2_Dof,2,4,-2,2
TraesCS3B02G210300,C2C2_Dof,2,2,0,0
TraesCS7B02G264800,C2C2_GATA,2,3,-1,1
TraesCS7D02G359900,C2C2_GATA,2,3,-1,1
TraesCS4B02G245900,C2C2_YABBY,2,1,1,1
TraesCS2A02G102300,C3H,2,1,1,1
TraesCS5B02G502600,C3H,2,0,2,2
TraesCS1B02G297900,CCAAT_Dr1,2,0,2,2
TraesCS6B02G366100,CCAAT_HAP2,2,6,-4,4
TraesCS2D02G295300,E2F/DP,2,0,2,2
TraesCS2B02G335400,FHA,2,3,-1,1
TraesCS4D02G131500,GARP_G2-like,2,4,-2,2
TraesCS5D02G158300,GARP_G2-like,2,6,-4,4
TraesCS5D02G411800,GARP_G2-like,2,3,-1,1
TraesCS4B02G124000,GRAS,2,3,-1,1
TraesCS4D02G127800,GRAS,2,1,1,1
TraesCS4D02G338800,GRAS,2,8,-6,6
TraesCS2A02G305400,HD_PLINC,2,1,1,1
TraesCS2D02G303900,HD_PLINC,2,1,1,1
TraesCS5B02G225700,HD_PLINC,2,1,1,1
TraesCS1B02G232700,HD-Zip_I_II,2,1,1,1
TraesCS4B02G287600,HD-Zip_I_II,2,15,-13,13
TraesCS4B02G305300,HD-Zip_I_II,2,1,1,1
TraesCS6A02G290800,HD-Zip_I_II,2,2,0,0
TraesCS6D02G304300,HD-Zip_IV,2,5,-3,3
TraesCS7D02G270600,HSF,2,3,-1,1
TraesCS1D02G382900,HSF,2,2,0,0
TraesCS5D02G244800,HSF,2,14,-12,12
