"","gene_name","neighbor1","neighbor2","neighbor_diff","abs_neighbor_diff"
"1","ENSRNA049469007",1,0,1,1
"2","ENSRNA049469087",1,0,1,1
"3","ENSRNA049478892",1,0,1,1
"4","ENSRNA049480709",1,0,1,1
"5","ENSRNA049480746",0,0,0,0
"6","ENSRNA049481265",1,0,1,1
"7","ENSRNA049481349",1,0,1,1
"8","ENSRNA049483690",1,0,1,1
"9","ENSRNA049483697",1,0,1,1
"10","ENSRNA049483698",1,0,1,1
"11","ENSRNA049483796",1,0,1,1
"12","ENSRNA049484587",0,0,0,0
"13","ENSRNA049485360",1,2,-1,1
"14","ENSRNA049485365",0,0,0,0
"15","ENSRNA049485379",1,0,1,1
"16","ENSRNA049485567",1,0,1,1
"17","ENSRNA049485571",1,0,1,1
"18","SORBI_3001G001300",0,0,0,0
"19","SORBI_3001G003000",0,2,-2,2
"20","SORBI_3001G004600",0,0,0,0
"21","SORBI_3001G004800",0,0,0,0
"22","SORBI_3001G005200",0,0,0,0
"23","SORBI_3001G005500",0,0,0,0
"24","SORBI_3001G005800",0,2,-2,2
"25","SORBI_3001G007500",0,0,0,0
"26","SORBI_3001G007800",0,2,-2,2
"27","SORBI_3001G008700",0,0,0,0
"28","SORBI_3001G009200",0,0,0,0
"29","SORBI_3001G009700",0,1,-1,1
"30","SORBI_3001G012200",0,0,0,0
"31","SORBI_3001G012300",0,0,0,0
"32","SORBI_3001G012400",0,0,0,0
"33","SORBI_3001G012800",0,0,0,0
"34","SORBI_3001G013000",0,2,-2,2
"35","SORBI_3001G013400",0,2,-2,2
"36","SORBI_3001G013800",0,0,0,0
"37","SORBI_3001G014200",0,1,-1,1
"38","SORBI_3001G014300",0,0,0,0
"39","SORBI_3001G014700",1,0,1,1
"40","SORBI_3001G015100",0,0,0,0
"41","SORBI_3001G015700",0,0,0,0
"42","SORBI_3001G016800",0,6,-6,6
"43","SORBI_3001G017100",0,1,-1,1
"44","SORBI_3001G017700",0,1,-1,1
"45","SORBI_3001G019200",0,0,0,0
"46","SORBI_3001G019900",0,4,-4,4
"47","SORBI_3001G021300",0,1,-1,1
"48","SORBI_3001G022400",0,4,-4,4
"49","SORBI_3001G022600",1,0,1,1
"50","SORBI_3001G023200",0,0,0,0
"51","SORBI_3001G024000",0,1,-1,1
"52","SORBI_3001G024200",0,1,-1,1
"53","SORBI_3001G024400",0,12,-12,12
"54","SORBI_3001G024500",0,16,-16,16
"55","SORBI_3001G025101",0,0,0,0
"56","SORBI_3001G025201",0,2,-2,2
"57","SORBI_3001G025300",0,1,-1,1
"58","SORBI_3001G025500",1,0,1,1
"59","SORBI_3001G027100",0,0,0,0
"60","SORBI_3001G027600",0,0,0,0
"61","SORBI_3001G028000",0,2,-2,2
"62","SORBI_3001G028100",0,1,-1,1
"63","SORBI_3001G028800",0,22,-22,22
"64","SORBI_3001G029300",0,0,0,0
"65","SORBI_3001G029800",0,1,-1,1
"66","SORBI_3001G029900",0,2,-2,2
"67","SORBI_3001G030200",0,3,-3,3
"68","SORBI_3001G031300",0,1,-1,1
"69","SORBI_3001G031600",0,1,-1,1
"70","SORBI_3001G031700",0,8,-8,8
"71","SORBI_3001G032000",0,0,0,0
"72","SORBI_3001G032100",0,7,-7,7
"73","SORBI_3001G032900",0,14,-14,14
"74","SORBI_3001G034100",0,0,0,0
"75","SORBI_3001G034500",0,0,0,0
"76","SORBI_3001G034900",0,13,-13,13
"77","SORBI_3001G035000",0,1,-1,1
"78","SORBI_3001G035600",0,0,0,0
"79","SORBI_3001G036800",0,0,0,0
"80","SORBI_3001G037000",0,0,0,0
"81","SORBI_3001G037500",0,0,0,0
"82","SORBI_3001G038900",0,2,-2,2
"83","SORBI_3001G039900",0,0,0,0
"84","SORBI_3001G040000",0,0,0,0
"85","SORBI_3001G040200",0,10,-10,10
"86","SORBI_3001G040600",0,0,0,0
"87","SORBI_3001G040800",0,2,-2,2
"88","SORBI_3001G041700",0,1,-1,1
"89","SORBI_3001G042901",0,1,-1,1
"90","SORBI_3001G043100",0,0,0,0
"91","SORBI_3001G043700",0,0,0,0
"92","SORBI_3001G044400",0,1,-1,1
"93","SORBI_3001G044500",0,2,-2,2
"94","SORBI_3001G044800",1,0,1,1
"95","SORBI_3001G045600",0,8,-8,8
"96","SORBI_3001G045700",0,1,-1,1
"97","SORBI_3001G046000",0,5,-5,5
"98","SORBI_3001G047200",0,0,0,0
"99","SORBI_3001G048900",0,2,-2,2
"100","SORBI_3001G049800",0,3,-3,3
"101","SORBI_3001G050300",1,0,1,1
"102","SORBI_3001G050900",1,0,1,1
"103","SORBI_3001G051500",0,2,-2,2
"104","SORBI_3001G051600",0,0,0,0
"105","SORBI_3001G052000",0,0,0,0
"106","SORBI_3001G052400",0,1,-1,1
"107","SORBI_3001G054100",0,2,-2,2
"108","SORBI_3001G054800",1,0,1,1
"109","SORBI_3001G055700",0,1,-1,1
"110","SORBI_3001G057600",0,3,-3,3
"111","SORBI_3001G059400",0,0,0,0
"112","SORBI_3001G059900",0,2,-2,2
"113","SORBI_3001G060500",0,3,-3,3
"114","SORBI_3001G061101",0,0,0,0
"115","SORBI_3001G061500",0,1,-1,1
"116","SORBI_3001G061600",0,0,0,0
"117","SORBI_3001G061900",1,0,1,1
"118","SORBI_3001G063600",0,1,-1,1
"119","SORBI_3001G064500",0,3,-3,3
"120","SORBI_3001G064800",0,1,-1,1
"121","SORBI_3001G064900",0,0,0,0
"122","SORBI_3001G065800",0,0,0,0
"123","SORBI_3001G065900",0,0,0,0
"124","SORBI_3001G066000",0,1,-1,1
"125","SORBI_3001G069900",0,2,-2,2
"126","SORBI_3001G070200",0,0,0,0
"127","SORBI_3001G070900",0,0,0,0
"128","SORBI_3001G071100",0,3,-3,3
"129","SORBI_3001G072800",0,0,0,0
"130","SORBI_3001G073300",0,1,-1,1
"131","SORBI_3001G073800",0,0,0,0
"132","SORBI_3001G074100",0,0,0,0
"133","SORBI_3001G074200",0,3,-3,3
"134","SORBI_3001G074400",1,0,1,1
"135","SORBI_3001G075000",0,0,0,0
"136","SORBI_3001G075900",0,0,0,0
"137","SORBI_3001G076000",0,2,-2,2
"138","SORBI_3001G076100",0,1,-1,1
"139","SORBI_3001G076700",0,0,0,0
"140","SORBI_3001G077000",0,2,-2,2
"141","SORBI_3001G077400",0,2,-2,2
"142","SORBI_3001G077500",0,0,0,0
"143","SORBI_3001G078200",0,1,-1,1
"144","SORBI_3001G078500",0,0,0,0
"145","SORBI_3001G078600",0,0,0,0
"146","SORBI_3001G078700",0,1,-1,1
"147","SORBI_3001G078900",0,12,-12,12
"148","SORBI_3001G079300",0,2,-2,2
"149","SORBI_3001G079500",1,0,1,1
"150","SORBI_3001G080100",0,13,-13,13
"151","SORBI_3001G080200",0,1,-1,1
"152","SORBI_3001G080600",0,0,0,0
"153","SORBI_3001G080800",0,0,0,0
"154","SORBI_3001G080900",0,0,0,0
"155","SORBI_3001G081100",1,0,1,1
"156","SORBI_3001G081400",0,0,0,0
"157","SORBI_3001G081600",1,2,-1,1
"158","SORBI_3001G081800",0,0,0,0
"159","SORBI_3001G081900",0,2,-2,2
"160","SORBI_3001G082400",0,0,0,0
"161","SORBI_3001G082800",0,0,0,0
"162","SORBI_3001G083300",0,0,0,0
"163","SORBI_3001G083900",1,1,0,0
"164","SORBI_3001G084100",0,1,-1,1
"165","SORBI_3001G084400",0,2,-2,2
"166","SORBI_3001G085000",0,1,-1,1
"167","SORBI_3001G085300",0,1,-1,1
"168","SORBI_3001G085500",0,1,-1,1
"169","SORBI_3001G085600",0,2,-2,2
"170","SORBI_3001G086000",0,2,-2,2
"171","SORBI_3001G086400",0,5,-5,5
"172","SORBI_3001G086600",0,0,0,0
"173","SORBI_3001G086900",0,3,-3,3
"174","SORBI_3001G087400",0,0,0,0
"175","SORBI_3001G087600",0,0,0,0
"176","SORBI_3001G088000",0,1,-1,1
"177","SORBI_3001G088300",0,1,-1,1
"178","SORBI_3001G088400",0,1,-1,1
"179","SORBI_3001G088700",0,1,-1,1
"180","SORBI_3001G088800",0,1,-1,1
"181","SORBI_3001G089000",1,0,1,1
"182","SORBI_3001G089200",0,0,0,0
"183","SORBI_3001G089300",0,0,0,0
"184","SORBI_3001G089600",0,0,0,0
"185","SORBI_3001G090200",1,0,1,1
"186","SORBI_3001G090500",0,0,0,0
"187","SORBI_3001G090600",0,1,-1,1
"188","SORBI_3001G091500",1,0,1,1
"189","SORBI_3001G093200",0,1,-1,1
"190","SORBI_3001G093600",1,0,1,1
"191","SORBI_3001G093900",0,1,-1,1
"192","SORBI_3001G094200",0,1,-1,1
"193","SORBI_3001G094300",0,0,0,0
"194","SORBI_3001G094400",0,3,-3,3
"195","SORBI_3001G095000",0,2,-2,2
"196","SORBI_3001G095500",0,1,-1,1
"197","SORBI_3001G095700",0,0,0,0
"198","SORBI_3001G096900",0,0,0,0
"199","SORBI_3001G097400",0,1,-1,1
"200","SORBI_3001G097600",0,0,0,0
"201","SORBI_3001G098000",0,2,-2,2
"202","SORBI_3001G098200",0,1,-1,1
"203","SORBI_3001G098500",1,1,0,0
"204","SORBI_3001G098900",1,0,1,1
"205","SORBI_3001G100501",0,0,0,0
"206","SORBI_3001G101200",0,0,0,0
"207","SORBI_3001G103400",1,0,1,1
"208","SORBI_3001G104900",0,3,-3,3
"209","SORBI_3001G105000",0,0,0,0
"210","SORBI_3001G105200",0,2,-2,2
"211","SORBI_3001G105700",0,0,0,0
"212","SORBI_3001G105800",0,0,0,0
"213","SORBI_3001G106600",0,1,-1,1
"214","SORBI_3001G107400",0,3,-3,3
"215","SORBI_3001G108100",0,0,0,0
"216","SORBI_3001G108500",0,1,-1,1
"217","SORBI_3001G108900",0,1,-1,1
"218","SORBI_3001G109400",0,0,0,0
"219","SORBI_3001G109700",0,1,-1,1
"220","SORBI_3001G110500",0,0,0,0
"221","SORBI_3001G111000",0,0,0,0
"222","SORBI_3001G111366",0,2,-2,2
"223","SORBI_3001G111700",0,3,-3,3
"224","SORBI_3001G111900",0,1,-1,1
"225","SORBI_3001G112200",0,9,-9,9
"226","SORBI_3001G112800",0,0,0,0
"227","SORBI_3001G112900",0,1,-1,1
"228","SORBI_3001G114400",0,2,-2,2
"229","SORBI_3001G114800",0,0,0,0
"230","SORBI_3001G115300",0,2,-2,2
"231","SORBI_3001G115800",0,1,-1,1
"232","SORBI_3001G116400",0,1,-1,1
"233","SORBI_3001G117400",0,1,-1,1
"234","SORBI_3001G118400",0,1,-1,1
"235","SORBI_3001G118800",1,4,-3,3
"236","SORBI_3001G119000",0,0,0,0
"237","SORBI_3001G119100",0,1,-1,1
"238","SORBI_3001G119200",0,0,0,0
"239","SORBI_3001G119400",1,0,1,1
"240","SORBI_3001G119600",0,1,-1,1
"241","SORBI_3001G120000",1,0,1,1
"242","SORBI_3001G121400",0,1,-1,1
"243","SORBI_3001G121500",0,0,0,0
"244","SORBI_3001G121700",0,2,-2,2
"245","SORBI_3001G122100",0,2,-2,2
"246","SORBI_3001G122900",0,1,-1,1
"247","SORBI_3001G123000",0,1,-1,1
"248","SORBI_3001G124600",0,2,-2,2
"249","SORBI_3001G125000",0,31,-31,31
"250","SORBI_3001G125100",1,2,-1,1
"251","SORBI_3001G125700",0,6,-6,6
"252","SORBI_3001G125800",0,1,-1,1
"253","SORBI_3001G125900",0,0,0,0
"254","SORBI_3001G126800",0,4,-4,4
"255","SORBI_3001G128200",0,0,0,0
"256","SORBI_3001G130700",0,0,0,0
"257","SORBI_3001G131300",0,2,-2,2
"258","SORBI_3001G131400",0,1,-1,1
"259","SORBI_3001G132000",0,1,-1,1
"260","SORBI_3001G132600",0,0,0,0
"261","SORBI_3001G133900",0,0,0,0
"262","SORBI_3001G134500",0,0,0,0
"263","SORBI_3001G138000",1,1,0,0
"264","SORBI_3001G138200",1,0,1,1
"265","SORBI_3001G138600",0,7,-7,7
"266","SORBI_3001G140101",0,1,-1,1
"267","SORBI_3001G141300",1,0,1,1
"268","SORBI_3001G142000",0,0,0,0
"269","SORBI_3001G142200",0,0,0,0
"270","SORBI_3001G143000",0,1,-1,1
"271","SORBI_3001G143100",0,0,0,0
"272","SORBI_3001G143400",0,2,-2,2
"273","SORBI_3001G144200",0,0,0,0
"274","SORBI_3001G144900",0,0,0,0
"275","SORBI_3001G145200",0,1,-1,1
"276","SORBI_3001G146900",0,2,-2,2
"277","SORBI_3001G147900",1,0,1,1
"278","SORBI_3001G148200",0,3,-3,3
"279","SORBI_3001G148700",0,0,0,0
"280","SORBI_3001G149500",0,17,-17,17
"281","SORBI_3001G149700",0,0,0,0
"282","SORBI_3001G151200",1,0,1,1
"283","SORBI_3001G151700",0,2,-2,2
"284","SORBI_3001G151800",0,1,-1,1
"285","SORBI_3001G152320",0,0,0,0
"286","SORBI_3001G152901",0,1,-1,1
"287","SORBI_3001G154100",0,1,-1,1
"288","SORBI_3001G154500",0,2,-2,2
"289","SORBI_3001G155200",0,0,0,0
"290","SORBI_3001G155300",0,1,-1,1
"291","SORBI_3001G156100",0,0,0,0
"292","SORBI_3001G157300",0,1,-1,1
"293","SORBI_3001G157700",1,0,1,1
"294","SORBI_3001G157800",0,1,-1,1
"295","SORBI_3001G159500",0,0,0,0
"296","SORBI_3001G160000",0,1,-1,1
"297","SORBI_3001G161200",1,0,1,1
"298","SORBI_3001G161300",1,0,1,1
"299","SORBI_3001G161400",0,0,0,0
"300","SORBI_3001G162700",0,0,0,0
"301","SORBI_3001G166200",0,0,0,0
"302","SORBI_3001G166300",0,0,0,0
"303","SORBI_3001G166401",0,0,0,0
"304","SORBI_3001G167000",0,3,-3,3
"305","SORBI_3001G167500",0,0,0,0
"306","SORBI_3001G169200",0,0,0,0
"307","SORBI_3001G169800",0,3,-3,3
"308","SORBI_3001G170800",0,0,0,0
"309","SORBI_3001G171100",0,0,0,0
"310","SORBI_3001G171800",0,0,0,0
"311","SORBI_3001G172400",0,0,0,0
"312","SORBI_3001G173300",0,1,-1,1
"313","SORBI_3001G173500",1,0,1,1
"314","SORBI_3001G173800",0,1,-1,1
"315","SORBI_3001G173900",0,0,0,0
"316","SORBI_3001G175000",0,2,-2,2
"317","SORBI_3001G177100",0,1,-1,1
"318","SORBI_3001G177300",0,0,0,0
"319","SORBI_3001G177900",0,1,-1,1
"320","SORBI_3001G178600",0,0,0,0
"321","SORBI_3001G180200",0,2,-2,2
"322","SORBI_3001G181300",0,10,-10,10
"323","SORBI_3001G183500",0,0,0,0
"324","SORBI_3001G183600",0,0,0,0
"325","SORBI_3001G185400",0,3,-3,3
"326","SORBI_3001G185500",0,1,-1,1
"327","SORBI_3001G186200",0,1,-1,1
"328","SORBI_3001G187000",0,1,-1,1
"329","SORBI_3001G187200",0,1,-1,1
"330","SORBI_3001G188400",0,1,-1,1
"331","SORBI_3001G188600",0,0,0,0
"332","SORBI_3001G189000",0,0,0,0
"333","SORBI_3001G189900",0,0,0,0
"334","SORBI_3001G190100",0,1,-1,1
"335","SORBI_3001G190200",0,1,-1,1
"336","SORBI_3001G191200",1,5,-4,4
"337","SORBI_3001G192100",0,2,-2,2
"338","SORBI_3001G192200",0,0,0,0
"339","SORBI_3001G192400",0,0,0,0
"340","SORBI_3001G192800",0,0,0,0
"341","SORBI_3001G193600",0,0,0,0
"342","SORBI_3001G193900",1,0,1,1
"343","SORBI_3001G194900",0,1,-1,1
"344","SORBI_3001G195000",0,2,-2,2
"345","SORBI_3001G195100",0,0,0,0
"346","SORBI_3001G195700",0,1,-1,1
"347","SORBI_3001G195866",1,0,1,1
"348","SORBI_3001G198200",0,1,-1,1
"349","SORBI_3001G199200",0,0,0,0
"350","SORBI_3001G201000",0,0,0,0
"351","SORBI_3001G201700",0,0,0,0
"352","SORBI_3001G201900",0,3,-3,3
"353","SORBI_3001G203200",0,0,0,0
"354","SORBI_3001G204300",0,1,-1,1
"355","SORBI_3001G204601",0,1,-1,1
"356","SORBI_3001G205000",0,1,-1,1
"357","SORBI_3001G205500",0,0,0,0
"358","SORBI_3001G206000",0,1,-1,1
"359","SORBI_3001G206400",0,0,0,0
"360","SORBI_3001G206500",0,1,-1,1
"361","SORBI_3001G208200",0,0,0,0
"362","SORBI_3001G208401",1,0,1,1
"363","SORBI_3001G209800",1,0,1,1
"364","SORBI_3001G215300",0,2,-2,2
"365","SORBI_3001G215600",0,2,-2,2
"366","SORBI_3001G216600",0,0,0,0
"367","SORBI_3001G217000",0,7,-7,7
"368","SORBI_3001G217500",0,1,-1,1
"369","SORBI_3001G217700",0,3,-3,3
"370","SORBI_3001G219700",0,0,0,0
"371","SORBI_3001G220400",0,6,-6,6
"372","SORBI_3001G221500",0,1,-1,1
"373","SORBI_3001G221800",0,2,-2,2
"374","SORBI_3001G222700",0,1,-1,1
"375","SORBI_3001G223200",0,0,0,0
"376","SORBI_3001G224000",0,0,0,0
"377","SORBI_3001G224200",0,3,-3,3
"378","SORBI_3001G224300",0,0,0,0
"379","SORBI_3001G224700",0,3,-3,3
"380","SORBI_3001G225100",0,9,-9,9
"381","SORBI_3001G225200",0,16,-16,16
"382","SORBI_3001G225300",0,0,0,0
"383","SORBI_3001G225400",0,2,-2,2
"384","SORBI_3001G225500",0,0,0,0
"385","SORBI_3001G226600",0,23,-23,23
"386","SORBI_3001G227800",0,1,-1,1
"387","SORBI_3001G228200",1,0,1,1
"388","SORBI_3001G228300",0,2,-2,2
"389","SORBI_3001G230300",1,0,1,1
"390","SORBI_3001G230700",0,3,-3,3
"391","SORBI_3001G232000",1,0,1,1
"392","SORBI_3001G234300",1,0,1,1
"393","SORBI_3001G234800",0,1,-1,1
"394","SORBI_3001G235700",0,1,-1,1
"395","SORBI_3001G236800",0,0,0,0
"396","SORBI_3001G237500",0,0,0,0
"397","SORBI_3001G238900",0,2,-2,2
"398","SORBI_3001G239601",0,8,-8,8
"399","SORBI_3001G240000",0,0,0,0
"400","SORBI_3001G240100",0,0,0,0
"401","SORBI_3001G240400",0,0,0,0
"402","SORBI_3001G243000",0,2,-2,2
"403","SORBI_3001G243300",0,0,0,0
"404","SORBI_3001G244200",0,0,0,0
"405","SORBI_3001G247300",0,21,-21,21
"406","SORBI_3001G250300",0,2,-2,2
"407","SORBI_3001G251400",0,0,0,0
"408","SORBI_3001G252300",0,1,-1,1
"409","SORBI_3001G255700",0,232,-232,232
"410","SORBI_3001G257700",0,2,-2,2
"411","SORBI_3001G258100",0,0,0,0
"412","SORBI_3001G258900",0,2,-2,2
"413","SORBI_3001G259300",0,2,-2,2
"414","SORBI_3001G259600",0,0,0,0
"415","SORBI_3001G259700",0,0,0,0
"416","SORBI_3001G259800",1,0,1,1
"417","SORBI_3001G259900",0,0,0,0
