Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,Treatment
SRR8667872,7 days after sowing,RNA-Seq,125,885080125,PRJNA525462,SAMN11053044,386843971,GEO,public,100M,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5463938,GSM3639401,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639401,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667873,7 days after sowing,RNA-Seq,125,890505875,PRJNA525462,SAMN11053044,387939969,GEO,public,100M,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX5463938,GSM3639401,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639401,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667874,7 days after sowing,RNA-Seq,250,2461844500,PRJNA525462,SAMN11053044,1199570343,GEO,public,100M,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX5463938,GSM3639401,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639401,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667875,7 days after sowing,RNA-Seq,125,672666125,PRJNA525462,SAMN11053043,289202402,GEO,public,100M,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX5463939,GSM3639402,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639402,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667876,7 days after sowing,RNA-Seq,125,671431750,PRJNA525462,SAMN11053043,287984330,GEO,public,100M,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX5463939,GSM3639402,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639402,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667877,7 days after sowing,RNA-Seq,250,3668784250,PRJNA525462,SAMN11053043,1762678961,GEO,public,100M,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5463939,GSM3639402,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639402,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667878,7 days after sowing,RNA-Seq,125,944814125,PRJNA525462,SAMN11053042,414445073,GEO,public,100M,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX5463940,GSM3639403,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639403,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667879,7 days after sowing,RNA-Seq,125,948950000,PRJNA525462,SAMN11053042,415047800,GEO,public,100M,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX5463940,GSM3639403,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639403,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667880,7 days after sowing,RNA-Seq,250,2533015250,PRJNA525462,SAMN11053042,1233025278,GEO,public,100M,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX5463940,GSM3639403,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639403,Intact 1 h_first axillary bud,SRP187485,First axillary bud,left intact
SRR8667881,7 days after sowing,RNA-Seq,125,1209737000,PRJNA525462,SAMN11053041,523971938,GEO,public,100M,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX5463941,GSM3639404,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2019-03-06T00:00:00Z,GSM3639404,Intact 3 h_first axillary bud,SRP187485,First axillary bud,left intact
